"locID","CNN","xLoc","yLoc","LocationDescription","curbReturnLoc","positionOnReturn","Latitude","Longitude","LastUpdate","InvenID","conditionScore","detectableSurf","vitalFacilities","heavyTraffic","lipTooHigh","probStreetMeetCR","possBasementObstacle","signalPoleInWing","catchBasinFrontOfCR","insideCrosswalk","surfCond","slopeWing","flushToCorner","colorContrast","paintedRed","topClearance","sideClearance","CRTooNarrow","levelLandTop","levelLandBottom","slopeRangeID","crPossible","crExist","Location"
"23230000-SE-Right","23230000","5988679.2957","2097155.05601","25TH AVE: ROSEMARY CT intersection","SE","Right","37.73778065549","-122.48177007471","2020 Nov 10 06:44:16 AM","17256","0",,,,,,,,,,,,,,,,,,,,,"Y44","0","    (37.73778065549126, -122.48177007471097)"
"26175000-W-Left","26175000","5999851.46168","2105243.95092","DANVERS ST: MARKET ST intersection","W","Left","37.76050919609","-122.44351704673","2020 Nov 10 06:44:16 AM","33754","100","1",,,"0",,,"0","0","1","1","1",,"1",,,,"1","1","1","2",,"1","    (37.76050919609425, -122.44351704673349)"
"27583000-NE-Right","27583000","5994929.05191","2114424.13335","03RD AVE: CALIFORNIA ST intersection","NE","Right","37.78540312093","-122.46136866423","2020 Nov 10 06:44:16 AM","42837","100","1",,,"0","0",,"0","0","1","1","1","1","1","1","1","1","1","1","1","2",,"1","    (37.78540312092791, -122.46136866423282)"
"33604000-NW-Left","33604000","5999908.44921","2093775.01638","CIRCULAR AVE: STAPLES AVE intersection","NW","Left","37.72910166678","-122.44259529678","2020 Nov 10 06:44:16 AM","52957","0",,,,,,,,,,,,,,,,,,,,,"Y44","0","    (37.729101666776195, -122.44259529678139)"
"23797000-NW-Right","23797000","6014465.84617","2110493.99816","04TH ST: BERRY ST intersection","NW","Right","37.77578730197","-122.39335512534","2020 Nov 10 06:44:16 AM","20788","98","1","1","1","0",,"0","0","0","1","1",,,"1",,,,"1","1","1","1",,"1","    (37.775787301969274, -122.39335512534097)"
"23472000-NW-Right","23472000","5983829.78309","2100893.28311","40TH AVE: QUINTARA ST intersection","NW","Right","37.74765208759","-122.49858310735","2020 Nov 10 06:44:16 AM","18872","100","1",,,"0","0","0","0","0","1","1","1",,"1",,"1","1","1","1","1","2",,"1","    (37.747652087585855, -122.4985831073481)"
"20560000-SW-Left","20560000","6011516.68212","2089727.29002","BRUSSELS ST: WARD ST intersection","SW","Left","37.71872068129","-122.40210258522","2020 Nov 10 06:44:16 AM","2680","100","1",,,"0","0",,"0","0","1","1","1","1","1","0","1","1","1","1","1","2",,"1","    (37.71872068129458, -122.4021025852211)"
"20349000-N-Right","20349000","6009778.71118","2087173.46344","RUTLAND ST: VISITACION AVE intersection","N","Right","37.71144774785","-122.40792714773","2020 Nov 10 06:44:16 AM","1494","100","1",,,"0",,,"0","0","1","1","1",,"1",,,,"1","1","1","2",,"1","    (37.71144774784666, -122.40792714772985)"
"27167000-NW-Right","27167000","5991784.50964","2105249.5349","14TH AVE: KIRKHAM ST \ LURLINE ST intersection","NW","Right","37.76007555876","-122.47140857214","2020 Nov 10 06:44:16 AM","39919","100","1",,,"0",,,"0","0","1","1","1",,"1",,,,"1","1","1","2",,"1","    (37.76007555876331, -122.47140857213861)"
"21407000-N-Right","21407000","6002877.77977","2089329.04279","ATHENS ST: FRANCE AVE intersection","N","Right","37.71697628899","-122.43195270639","2020 Nov 10 06:44:16 AM","7245","0",,,,,,,,,,,,,,,,,,,,,"Y44","0","    (37.7169762889898, -122.4319527063859)"
"20885000-NW-Left","20885000","6010264.03534","2091800.35248","SOMERSET ST: WOOLSEY ST intersection","NW","Left","37.72419421304","-122.40655318942","2020 Nov 10 06:44:16 AM","4368","100","1",,,"0",,,"0","0","1","1","1",,"1",,,,"1","1","1","2",,"1","    (37.72419421303969, -122.40655318942358)"
"21835000-SE-Right-BT","21835000","6005406.15956","2097167.52153","APPLETON AVE: MISSION ST intersection","SE","Right","37.73884327119","-122.4239487844","2020 Nov 10 06:44:16 AM","9666","100","1",,,"0",,,"0","0","1","1","1",,"1",,,,"1","1","1","2",,"1","    (37.7388432711874, -122.42394878439504)"
"22445000-S-Right","22445000","5996175.29285","2099041.61359","LAGUNA HONDA BLVD: ROCKAWAY AVE \ ULLOA ST intersection","S","Right","37.74348243661","-122.4559051526","2020 Nov 10 06:44:16 AM","12892","100","1",,,"0",,,"0","0","1","1","1",,"1",,,,"1","1","1","2",,"1","    (37.74348243660903, -122.4559051525953)"
"27611000-SE-Left","27611000","5992148.13752","2114088.63205","12TH AVE: CALIFORNIA ST intersection","SE","Left","37.78452446504","-122.47098148558","2020 Nov 10 06:44:16 AM","42989","100","1",,,"0",,,"0","0","1","1","1",,"1",,,,"1","1","1","2",,"1","    (37.7845244650406, -122.47098148557721)"
"25756000-SE-Left","25756000","6002434.57397","2104111.18317","20TH ST: CASTRO ST intersection","SE","Left","37.75768652993","-122.4346975835","2020 Nov 10 06:44:16 AM","31244","0",,,,,,,,,,,,,,,,,,,,,"Y44","0","    (37.757686529927035, -122.43469758350022)"
"24141000-NW-Left","24141000","6007734.25038","2106810.84608","16TH ST: SHOTWELL ST intersection","NW","Left","37.76524948019","-122.41638752296","2020 Nov 10 06:44:16 AM","22996","80","1","1","1","1",,"0","0","0","1","1","1",,"0",,,,"1","1","0","2",,"1","    (37.76524948019074, -122.41638752296411)"
"25712000-SE-Right-BT","25712000","6004309.90289","2105389.8522","18TH ST: CHURCH ST intersection","SE","Right","37.76128955923","-122.42835406454","2020 Nov 10 06:44:16 AM","30941","100","1",,,"0",,,"0","0","1","1","1",,"1",,,,"1","1","1","2",,"1","    (37.76128955923329, -122.42835406453648)"
"21416000-NE-Left","21416000","6001755.11568","2087632.19776","ATHENS ST: CORDOVA ST intersection","NE","Left","37.71226104289","-122.43584332085","2020 Nov 10 06:44:16 AM","7306","100","1",,,"0",,,"0","0","1","1","1",,"1",,,,"1","1","1","2",,"1","    (37.71226104289171, -122.43584332085486)"
